system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,.geo
000000000000000000b5_0,2528.4028,1016.4873,3051.1516,2497.8706,2625.129,2169.9785,2331.7314,1906.1499,2059.6216,1703.9214,2135.927,1964.4078,3288.4973,2349.3481,2295.8994,1948.2252,1896.4125,2308.5767,2264.71,2057.163,2043.3004,2659.6484,2518.8596,3387.9082,2518.546,2616.4216,2581.243,3384.4822,2847.5854,2897.921,2402.097,2577.6975,2328.9238,
000000000000000000b6_0,2506.1567,2366.7097,2531.926,2287.7603,2393.373,2088.9011,2135.436,1817.401,1771.4702,1651.2734,1848.6565,1839.4324,2503.742,1990.0444,1988.1588,1765.7432,1745.1785,1960.4883,2030.5566,1820.1578,1667.9316,2342.0205,2292.6553,2407.0486,2237.1228,2184.449,2271.8413,2506.9788,2432.6655,2457.4297,2191.233,2276.6968,2222.0571,
000000000000000000b7_0,1894.8188,3039.4124,2812.7307,2499.2441,2442.2834,2196.8442,2200.3774,1900.9583,1907.6984,1768.6652,1976.1672,1914.4857,2892.4692,2126.4282,2011.4333,1918.3292,1836.3885,2166.7727,2117.4482,2005.2719,1845.6692,2433.6804,2183.776,2880.6514,2219.7803,2320.286,2291.852,2800.989,2534.2495,2735.8809,2332.5383,2379.5298,2096.4077,
000000000000000000b8_0,1697.1775,1900.5427,1727.429,1754.359,1838.9158,1797.8672,1565.717,1607.7871,1521.9124,1522.8798,1551.7239,1622.3442,1852.1644,1522.5525,1688.1494,1615.3267,1593.1556,1781.6404,1744.9792,1694.8892,1556.1409,1746.9722,1841.7695,1917.918,1948.0012,1899.9508,2011.4905,1799.6204,2047.4315,1797.4436,1913.6472,1803.013,1771.5862,
000000000000000000b9_0,2446.1765,2513.208,2641.121,2608.3882,2546.2065,2228.1406,2292.065,2100.5935,2068.7766,1969.9862,2073.875,2291.6233,2648.2412,2149.7334,2506.7441,2159.649,2013.4626,2398.8174,2381.325,2211.846,2045.3367,2622.7778,2696.811,2472.7124,2792.0864,3006.6035,2937.373,2629.3828,2531.0674,2477.7114,2323.5947,2380.9346,2352.017,
000000000000000000ba_0,1808.083,1998.7133,1002.6713,1159.5648,1528.4707,1405.1135,1430.7333,1620.3759,1679.2233,1617.9417,1756.6775,1840.8811,2002.4656,1830.0948,1768.6326,1799.55,1614.1868,1772.3618,1646.8785,1635.8882,1441.2922,1843.6174,1929.1718,2106.8228,1950.9078,1978.509,1960.9065,1998.4512,1868.5381,1898.4055,1739.8315,1726.5273,1737.305,
000000000000000000bb_0,1585.2949,1724.6101,1745.419,1785.1138,1825.9038,1881.8987,1775.6772,1653.4629,1610.7161,1586.8462,1509.6212,1727.9912,1661.4832,1644.4332,1597.1434,1706.4102,1703.7625,1899.347,1784.9937,1744.2441,1497.221,1902.1978,2106.9697,1877.3507,2073.4897,2143.847,2054.6218,1820.4924,1843.329,1803.0334,1722.7981,1668.5037,1789.2247,
000000000000000000bc_0,1459.364,1766.5797,1253.4916,1254.8944,1467.632,1213.2601,1170.3533,1347.9573,1297.2008,1212.9285,1201.641,1284.5536,1633.2888,1272.8221,1269.6971,1367.8083,1414.6573,1359.8887,1333.0874,1359.0984,1250.3069,1469.8611,1627.3083,1607.9038,1548.9019,1460.7571,1373.6213,1570.2545,1683.6262,1334.2458,1466.0664,1558.7001,1521.9539,
000000000000000000bd_0,2257.568,2374.3904,2289.6035,2183.1387,2259.0334,2058.2427,1919.178,1878.2261,1809.5056,1823.1404,1775.3857,1910.1481,2211.5078,1871.3899,1967.6667,1995.1215,1708.1388,2008.8253,1836.3218,1843.7993,1687.1284,2034.4578,2265.0159,2377.0896,2227.9978,2186.7378,2221.8594,2255.1455,2392.184,2184.6663,2129.929,1938.3593,2257.121,
000000000000000000be_0,2239.069,2551.3738,2606.5127,2651.3179,2610.2732,2359.8147,2393.8948,2061.4,2130.3792,2034.5303,2158.2534,2257.544,2356.5325,2132.7927,2323.037,2300.2678,1986.6235,2370.121,2301.437,1998.9419,1890.1436,2256.5913,2254.9446,2442.9968,2211.246,2248.813,2343.573,2428.9133,2369.6606,2354.9219,2272.171,2142.6548,2275.4624,
