system:index,RED,RED_1,RED_10,RED_11,RED_12,RED_13,RED_14,RED_15,RED_16,RED_17,RED_18,RED_19,RED_2,RED_20,RED_21,RED_22,RED_23,RED_24,RED_25,RED_26,RED_27,RED_28,RED_29,RED_3,RED_30,RED_31,RED_32,RED_4,RED_5,RED_6,RED_7,RED_8,RED_9,VALUE,.geo
000000000000000000dd_0,957.0,997.0,577.5,837.5,781.0,688.0,828.0,1270.0,778.5,851.5,872.0,920.0,521.5,720.0,640.0,781.0,1290.0,978.0,721.0,1290.0,1124.5,745.0,918.0,607.0,1222.0,675.5,982.5,432.0,695.0,578.0,1109.0,762.0,1194.0,1.0,
000000000000000000de_0,469.0,482.0,566.0,1004.0,650.0,504.0,1186.5,506.0,531.5,849.0,740.0,766.0,427.0,848.0,685.0,635.0,860.0,887.0,906.0,842.5,282.0,326.0,292.0,822.0,187.0,266.0,321.5,653.0,357.0,574.0,600.0,884.0,464.5,1.0,
000000000000000000df_0,277.5,792.5,636.0,753.5,907.0,742.0,905.0,862.5,821.0,703.0,844.0,740.0,452.5,623.0,698.0,795.0,727.5,676.0,589.5,609.5,663.0,565.0,688.0,848.5,539.5,658.0,534.0,744.0,947.0,681.0,652.5,764.5,663.0,1.0,
000000000000000000e0_0,540.0,502.0,506.0,1009.0,683.0,435.0,1078.5,485.0,461.0,818.5,677.0,730.0,577.0,833.0,655.0,536.0,834.0,807.5,836.0,879.0,193.0,316.0,225.0,587.0,173.0,249.0,218.0,581.0,442.0,566.0,593.0,543.0,479.0,1.0,
000000000000000000e1_0,391.0,466.0,505.0,1035.5,586.0,471.0,1069.5,501.5,486.0,775.0,695.0,769.5,487.0,844.5,650.5,577.0,872.0,827.0,888.0,903.5,213.0,339.0,278.5,679.0,189.0,242.0,164.5,830.5,395.5,593.0,621.0,572.0,500.5,1.0,
000000000000000000e2_0,443.5,396.0,506.0,980.0,683.0,423.0,1081.0,471.0,455.0,830.5,689.0,734.5,455.0,840.0,655.0,571.0,835.0,816.0,852.5,898.5,206.0,328.0,233.0,566.0,172.0,260.0,238.5,687.0,371.5,584.0,560.0,543.0,473.5,1.0,
000000000000000000e3_0,326.0,389.5,351.0,538.0,406.0,598.5,684.0,1043.0,1031.5,754.0,928.0,745.0,339.5,857.0,869.0,893.0,831.0,715.0,669.0,706.0,680.5,605.5,599.0,326.5,615.5,724.0,526.5,420.0,350.0,353.0,487.0,425.5,358.5,1.0,
000000000000000000e4_0,726.0,649.0,681.0,767.0,752.0,655.0,663.0,1116.0,689.0,579.0,769.0,579.0,698.5,605.0,888.0,695.0,637.5,599.0,767.0,1135.0,953.0,892.5,888.0,576.0,801.0,867.5,934.0,579.5,875.0,704.0,950.0,946.0,725.0,1.0,
000000000000000000e5_0,546.0,653.0,469.5,658.0,422.0,490.5,598.0,478.0,456.5,692.5,659.0,752.5,508.5,842.0,619.0,571.0,893.0,823.0,871.5,915.5,282.5,275.0,330.0,489.0,193.0,250.0,174.0,523.5,506.0,592.0,688.0,555.0,497.0,1.0,
000000000000000000e6_0,943.5,803.0,746.0,754.0,752.5,796.5,720.0,793.0,748.0,806.0,803.0,734.0,765.0,801.0,992.5,1051.5,890.5,774.0,578.0,696.0,600.0,278.0,252.0,947.0,242.0,344.0,278.0,880.0,961.0,840.0,944.0,896.0,834.0,1.0,
000000000000000000e7_0,364.5,463.5,661.0,824.0,683.5,655.0,633.0,714.0,923.0,649.0,710.0,632.5,363.0,602.0,588.0,710.0,629.0,528.0,450.0,600.0,560.0,553.0,581.0,328.0,562.0,385.0,536.5,932.0,955.0,783.0,859.0,932.0,937.5,1.0,
000000000000000000ea_0,346.0,360.0,182.5,387.5,360.0,427.5,367.0,346.0,369.5,398.0,396.5,510.0,323.0,277.0,339.0,420.0,366.0,289.0,407.0,494.0,371.0,406.5,502.5,397.0,473.0,455.0,476.0,316.0,761.0,346.5,756.0,592.0,573.0,1.0,
000000000000000000eb_0,461.0,409.0,586.5,1034.0,619.0,462.0,1135.5,499.5,505.5,828.0,683.0,744.0,503.0,848.0,668.5,632.0,863.0,869.0,899.0,886.0,317.0,297.5,365.0,581.0,247.0,306.0,305.0,689.0,369.5,596.0,535.0,719.0,462.5,1.0,
000000000000000000ec_0,627.0,694.5,539.0,600.5,457.0,548.0,604.5,548.0,538.0,561.5,647.0,675.0,572.5,725.0,675.0,631.5,868.0,882.0,874.0,800.0,318.0,357.0,368.0,661.0,260.0,369.0,254.0,617.0,443.0,652.5,623.0,576.0,594.5,1.0,
000000000000000000ed_0,382.5,366.5,209.5,301.0,226.0,306.0,307.0,291.0,374.5,468.5,359.0,515.0,440.0,465.0,464.0,561.0,518.0,465.0,464.0,489.0,429.0,470.0,531.0,370.0,423.5,410.0,390.5,308.0,368.0,378.5,428.0,377.0,273.0,1.0,
000000000000000000ee_0,562.0,707.0,686.0,739.0,695.5,600.0,645.5,849.0,755.0,781.5,778.5,834.5,654.0,864.0,788.0,618.0,694.0,506.0,830.0,708.0,679.0,729.5,590.5,661.0,593.5,595.5,582.0,765.5,606.0,646.0,1062.0,922.5,743.0,1.0,
000000000000000000ef_0,483.5,756.0,455.0,1042.0,619.0,551.0,1185.5,555.0,511.0,860.0,778.0,832.0,556.5,884.0,724.0,598.0,917.0,890.0,904.0,873.0,298.0,373.0,372.5,822.5,278.0,336.5,284.0,689.0,320.0,685.0,625.0,516.0,529.5,1.0,
000000000000000000f0_0,791.0,418.0,339.0,345.5,312.0,346.0,307.0,376.0,541.0,728.0,478.5,697.5,502.0,703.5,724.5,705.0,664.0,587.0,589.0,621.0,571.0,642.0,637.5,377.5,485.0,619.0,555.0,346.0,347.0,663.5,448.0,407.0,354.0,1.0,
000000000000000000f1_0,518.0,547.0,584.5,829.0,587.0,723.0,946.5,527.5,507.0,753.0,692.0,765.0,455.0,837.0,591.0,531.0,767.0,824.5,851.5,787.5,290.0,221.0,439.5,667.5,282.0,381.5,416.0,582.0,396.0,629.5,656.0,644.0,581.0,1.0,
000000000000000000f2_0,320.0,270.0,183.0,262.5,257.0,316.0,286.5,292.0,447.5,460.0,292.5,510.0,297.0,394.0,398.5,488.0,465.5,394.0,446.5,458.0,355.0,460.0,545.0,280.5,381.0,340.0,316.5,244.0,345.0,406.0,398.0,348.0,273.0,1.0,
