system:index,NDWI,NDWI_1,NDWI_10,NDWI_11,NDWI_12,NDWI_13,NDWI_14,NDWI_15,NDWI_16,NDWI_17,NDWI_18,NDWI_19,NDWI_2,NDWI_20,NDWI_21,NDWI_22,NDWI_23,NDWI_24,NDWI_25,NDWI_26,NDWI_27,NDWI_28,NDWI_29,NDWI_3,NDWI_30,NDWI_31,NDWI_32,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDWI_8,NDWI_9,.geo
000000000000000000a2_0,0.007936508,-0.067702554,-0.41226473,-0.3752244,-0.40287623,-0.47414848,-0.32742578,-0.45541912,-0.3637732,-0.3190585,-0.3388724,-0.33333334,-0.3986766,-0.4422646,-0.46855983,-0.42344618,-0.26904762,-0.14836289,-0.44094488,-0.41028967,-0.30165815,-0.4160297,-0.45891848,-0.52402955,-0.4919486,-0.44655737,-0.49161553,-0.40221402,-0.3230063,-0.4617874,-0.4698225,-0.45024076,-0.4294464,
000000000000000000a3_0,-0.32235104,-0.33692032,-0.39905548,-0.39541548,-0.46526867,-0.47984496,-0.42251223,-0.45925927,-0.3328908,-0.4101759,-0.34304932,-0.33367848,-0.4296952,-0.28058967,-0.35238096,-0.4378184,-0.2546786,-0.23290986,-0.46341464,-0.32998943,-0.41213062,-0.50333107,-0.43645605,-0.43672112,-0.4329502,-0.4028795,-0.4462935,-0.41226414,-0.5219174,-0.35681185,-0.43518817,-0.40308088,-0.4474656,
000000000000000000a4_0,-0.39202964,-0.18576723,-0.39405438,-0.44279295,-0.25141776,-0.41837046,-0.1780948,-0.43794242,-0.3686007,-0.36100328,-0.39952153,-0.3586899,-0.2679945,-0.40497336,-0.39127448,-0.36479732,-0.36884156,-0.13818903,-0.44787645,-0.13975903,-0.4277444,-0.44255874,-0.4094044,-0.39119172,-0.45401382,-0.3907587,-0.2916497,-0.42765862,-0.4672755,-0.5076722,-0.3316865,-0.2976986,-0.39657566,
000000000000000000a5_0,-0.3237072,-0.2895238,-0.43888888,-0.41169855,-0.4808444,-0.4111675,-0.4019406,-0.42987698,-0.36821154,-0.39926016,-0.30856553,-0.32472324,-0.2659176,-0.4019174,-0.41504344,-0.4241863,-0.3751696,-0.07284152,-0.38139397,-0.40521327,-0.39617488,-0.46419206,-0.4055851,-0.35396403,-0.46113494,-0.47939068,-0.36549506,-0.3908382,-0.49983865,-0.49306625,-0.3857272,-0.2630745,-0.38041002,
000000000000000000a6_0,-0.42126957,-0.2879046,-0.4237004,-0.45566618,-0.49052906,-0.41571102,-0.41110218,-0.44103947,-0.36713997,-0.4050892,-0.27906978,-0.3486974,-0.22287048,-0.45063752,-0.3799033,-0.38470453,-0.34691566,-0.18789238,-0.2687196,-0.19318849,-0.32865497,-0.417564,-0.42545626,-0.43680158,-0.42902207,-0.5086628,-0.30762565,-0.41021127,-0.40713766,-0.49638933,-0.4740082,-0.38116592,-0.3593482,
000000000000000000a7_0,-0.3787743,-0.100660235,-0.41663653,-0.46026832,-0.46085012,-0.50758505,-0.3327126,-0.45307374,-0.3318182,-0.4707079,-0.42166296,-0.45860928,-0.26005024,-0.42445213,-0.39056224,-0.29432908,-0.41266796,-0.44567046,-0.5235772,-0.44534934,-0.42315137,-0.35314932,-0.44576243,-0.48791638,-0.47988623,-0.5197725,-0.39480692,-0.4536412,-0.48672566,-0.12899213,-0.4793262,-0.42037937,-0.47694427,
000000000000000000a8_0,-0.3006175,-0.3131313,-0.41449276,-0.30819982,-0.4920398,-0.52593136,-0.4382955,-0.39839458,-0.36870155,-0.43965518,-0.30227274,-0.3413404,-0.46158323,-0.27918783,-0.3847346,-0.39768785,-0.36293903,-0.3088765,-0.44730517,-0.46784142,-0.4566474,-0.36448598,-0.12625666,-0.45292544,-0.48210162,-0.5259096,-0.4776482,-0.43638524,-0.42182228,-0.09928689,-0.47143796,-0.50308853,-0.46106133,
000000000000000000a9_0,-0.42053542,-0.23489189,-0.30454823,-0.117633246,-0.39657566,-0.44044504,-0.1922078,-0.4020401,-0.15532994,-0.33207548,-0.36570692,-0.32440686,-0.44386873,-0.3724809,-0.38696983,-0.40242916,-0.4213755,-0.28060007,-0.41402596,-0.4045534,-0.43682864,-0.36684552,-0.42507067,-0.36901328,-0.4078125,-0.3748141,-0.45038888,-0.34843314,-0.35622317,-0.085331164,-0.45454547,-0.3294964,-0.4433483,
000000000000000000aa_0,-0.36218303,-0.30864197,-0.43370235,-0.28913283,-0.27744108,-0.37195525,-0.27817515,-0.3507729,-0.34154817,-0.4192086,-0.2957435,-0.37927592,-0.35744172,-0.38444194,-0.18397997,-0.44087255,-0.39520654,-0.10179142,-0.34258962,-0.39404553,-0.36182573,-0.4873726,-0.3844074,-0.47616467,-0.43054625,0.35006806,-0.30791983,-0.459653,-0.41313985,-0.45966908,-0.38712972,-0.3627232,-0.44333887,
000000000000000000ab_0,-0.333731,-0.30123892,-0.46340325,-0.23861566,-0.2663248,-0.27128118,-0.22115725,-0.36571825,-0.32796317,-0.36738816,-0.332112,-0.33460712,-0.19216965,-0.175116,-0.30321696,-0.4332425,-0.38778588,-0.13058366,-0.38572162,-0.3970008,-0.40163192,-0.44217438,-0.3653984,-0.47035727,-0.4254669,-0.36318007,-0.3339787,-0.43712246,-0.4429674,-0.45370176,-0.42449743,-0.43154436,-0.4513671,
