system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,.geo
000000000000000000e3_0,0.26751593,0.17217018,0.13631372,0.28190273,0.1855886,0.2291991,0.35037675,0.43232766,0.38597843,0.27863526,0.12745285,0.25277162,0.24416462,0.19848293,0.08502994,0.16100767,0.16643903,0.20800781,0.28047106,0.191976,0.091596134,0.09589958,0.11448564,0.10970598,0.37877312,0.42437637,0.25655335,0.2008547,0.09220219,0.06322374,0.13046531,0.1505894,0.26422155,
000000000000000000e4_0,0.25637808,0.2109113,0.35889572,0.15919723,0.029471135,0.19201888,0.25452608,0.41140002,0.2418639,0.11439714,0.15046535,0.14374404,0.22575796,0.1998126,0.05244877,0.09295072,0.1375801,0.13219568,0.2112676,0.35002503,0.11613002,0.10516579,0.035149712,0.17267293,0.22311828,0.26181877,0.19802956,0.18024944,0.054497354,0.1314406,0.086949006,0.19625787,0.19185373,
000000000000000000e5_0,0.15713155,0.1543327,0.062170707,0.06398784,0.124711804,0.1188015,0.17322558,0.18663041,0.20960462,0.1568438,0.033422187,0.05765654,0.19934906,0.049773756,0.1345776,0.04292528,0.17503656,0.23966558,0.14122486,0.17380618,0.072367266,0.014941592,0.007343124,0.09822712,0.078475975,0.120061964,0.13084665,0.10066445,0.05524239,0.13976705,0.078215644,0.10076131,0.07071311,
000000000000000000e6_0,0.35340267,0.43051505,0.43072236,0.39447236,0.4756046,0.44001082,0.46363232,0.46410218,0.4334126,0.4581439,0.4202179,0.3364144,0.4100035,0.37788928,0.38226855,0.35745248,0.5211052,0.32138997,0.39550468,0.42316407,0.4171667,0.4653541,0.4837059,0.36842105,0.46414316,0.55175364,0.5233632,0.42592594,0.4568289,0.44541758,0.27606338,0.37451738,0.42429185,
000000000000000000e7_0,0.38007772,0.41728857,0.22481358,0.29274964,0.31099334,0.2360798,0.27588445,0.3836261,0.44180185,0.4075223,0.31345284,0.35627177,0.3462138,0.36243385,0.3635055,0.40148994,0.42632893,0.37360793,0.3717543,0.33612272,0.3304089,0.3498538,0.4254967,0.37471527,0.3935425,0.425165,0.42442304,0.39315352,0.30913556,0.41181737,0.13976312,0.27729926,0.30068114,
000000000000000000e8_0,0.3180693,0.40635192,0.5275142,0.3819799,0.366886,0.3855452,0.45235425,0.3929961,0.3501063,0.3913836,0.31182468,0.32275924,0.37846953,0.31353134,0.31889138,0.34721735,0.34314486,0.3283116,0.3131695,0.25862327,0.34449613,0.32531866,0.51260054,0.35083005,0.38556448,0.46006688,0.47254467,0.3255623,0.3814718,0.4117647,0.2824702,0.36482254,0.32931158,
000000000000000000e9_0,0.29971015,0.2644628,0.38701966,0.3046729,0.31673178,0.1570932,0.2176206,0.3453434,0.2375881,0.28044808,0.15885298,0.299431,0.31397125,0.2633243,0.29468936,0.39588976,0.38628528,0.3369418,0.25533417,0.11617516,0.39683607,0.16911046,0.34965193,0.28971642,0.30035818,0.35042736,0.330032,0.29918963,0.26585788,0.3570264,0.09740468,0.3441121,0.25568476,
000000000000000000ea_0,0.40451744,0.36412212,0.35597223,0.40554821,0.228577,0.15520182,0.21463415,0.16052023,0.21901956,0.18495966,0.30455077,0.24034402,0.4269701,0.26157475,0.22302887,0.2991478,0.22283539,0.16978967,0.3222411,0.20194647,0.11066908,0.10253836,0.2814761,0.31521916,0.24277854,0.31172937,0.17461264,0.3295535,0.2751343,0.29319727,0.11194324,0.007518797,0.23341432,
000000000000000000eb_0,0.32495165,0.38554612,0.4143111,0.46319866,0.44318017,0.4644091,0.7811818,0.42787176,0.388966,0.3780451,0.41464287,0.4051051,0.41305068,0.39554545,0.4112965,0.42238978,0.35771957,0.37786984,0.399297,0.4887266,0.4205004,0.44913927,0.42684218,0.42105263,0.39221558,0.43985638,0.46578947,0.3933558,0.43757224,0.3914776,0.35656482,0.37815812,0.40861088,
000000000000000000ec_0,0.33676198,0.3760811,0.43869773,0.39464185,0.3163245,0.34632477,0.40013847,0.5995959,0.3496066,0.48514852,0.39509135,0.34208146,0.42054793,0.35541752,0.34324133,0.39101598,0.39720687,0.36105034,0.42214608,0.38847673,0.41163838,0.5064281,0.49007726,0.31277186,0.45726222,0.5089473,0.47580773,0.29689673,0.3650285,0.32447603,0.3393698,0.34304982,0.331234,
