"","system.index","Brightness","Brightness_1","Brightness_10","Brightness_11","Brightness_12","Brightness_13","Brightness_14","Brightness_15","Brightness_16","Brightness_17","Brightness_18","Brightness_19","Brightness_2","Brightness_20","Brightness_21","Brightness_22","Brightness_23","Brightness_24","Brightness_25","Brightness_26","Brightness_27","Brightness_28","Brightness_29","Brightness_3","Brightness_30","Brightness_31","Brightness_32","Brightness_4","Brightness_5","Brightness_6","Brightness_7","Brightness_8","Brightness_9",".geo","CID","class"
"288","00000000000000000023_0",4099.7715,4087.1055,4702.5864,4698.372,4350.359,4674.6426,4485.544,4634.6655,4578.5312,4315.563,4522.0747,4299.935,4025.0522,4282.2397,4479.482,4297.8154,4371.8193,4156.636,4172.5,4242.123,4134.104,4743.8086,4743.5107,3950.093,4772.6113,4735.7827,4879.704,3834.145,4828.4414,4550.743,4799.5654,4810.4927,4526.4883,NA,288,"ltr"
"289","00000000000000000025_0",1038.7054,2525.6602,775.3047,1222.3152,2212.365,2065.6924,1711.0638,1636.8325,1781.7441,2335.8257,2591.4812,2177.3633,2881.1213,1459.7406,1170.1891,1951.6837,1481.0311,1367.1199,1868.3906,2501.3457,1261.8308,2093.296,3139.4922,2361.691,1575.2993,2730.1924,2770.6772,2329.3286,2634.7957,2948.5073,1582.1396,2520.6855,2907.8037,NA,289,"ltr"
"290","00000000000000000027_0",2565.4639,2779.5957,3184.833,3159.994,2875.6768,2818.8115,3102.2773,2893.8398,2884.068,2665.0103,2668.5605,2734.8374,2938.016,2810.3115,2864.0933,2974.0757,2816.7979,2917.7383,2880.1306,3454.3616,3379.3833,3263.8635,3645.3904,2813.6548,4051.8286,3832.2976,3744.4824,3566.2595,3948.3518,3677.2827,3909.641,3550.8777,3491.8857,NA,290,"ltr"
"291","00000000000000000028_0",1902.68,2375.3677,1614.8445,2136.128,2149.0269,2277.5024,2246.596,2231.0176,2224.0503,2422.5188,2333.8115,2494.9026,2421.12,2368.1968,2121.421,2407.5652,2297.9077,2270.227,2399.4927,2425.9954,2489.434,3138.3086,2692.4634,2449.6978,2281.836,2530.7014,2477.239,2316.822,2317.8794,2076.4563,2759.7107,1855.7908,2418.767,NA,291,"ltr"
"292","00000000000000000029_0",3215.4321,3355.7993,3219.4211,3308.5369,3262.966,3052.3562,3118.6826,3221.583,3392.4983,3750.779,3792.2456,3572.396,3191.5347,3256.9763,3134.5996,3672.1335,3772.953,3728.676,3487.5012,3696.2903,3841.2466,4644.9253,4309.448,3575.104,4113.374,4039.5725,3993.601,3685.4207,3646.956,3447.5894,3211.7034,2954.9507,3472.6099,NA,292,"ltr"
"293","0000000000000000002a_0",2761.8706,3006.3486,2950.052,2977.139,3049.7065,2736.8394,2953.0608,3012.4248,3226.4824,3360.1868,3507.067,3212.1528,2944.2783,3007.1543,2773.416,3177.0405,2857.4338,2856.899,2947.3113,3052.6233,3071.5244,3361.3232,3070.491,3277.2527,3197.3857,3204.2974,3388.7153,3436.868,3267.5613,3111.1973,3647.4766,4161.7515,3509.7402,NA,293,"ltr"
"294","0000000000000000002b_0",3084.9858,3568.827,3612.3306,3606.1914,3209.3027,4166.2393,4996.4746,4543.227,3913.0574,3583.6743,3628.0432,3333.602,3253.1528,3115.9834,3192.4285,3200.377,3172.018,3130.4243,2959.3252,2935.9434,2696.4175,3216.1934,3319.2954,3586.2383,3364.5515,3033.2112,4082.1165,2634.9768,2987.8032,2914.6045,3061.766,3852.5303,3771.648,NA,294,"ltr"
"295","0000000000000000002c_0",3654.5398,3534.649,4074.523,3878.153,3741.746,3704.909,3681.298,3547.7485,3668.5488,3590.5442,3531.5767,3854.816,4372.5806,4666.29,4668.0215,4529.122,4480.604,4357.8623,4324.882,4221.6846,4445.685,5086.0073,4515.9946,4196.5176,4512.921,4403.7505,4371.711,4198.6904,4008.8071,3980.0884,3789.096,3446.7808,3673.168,NA,295,"ltr"
"296","0000000000000000002d_0",3435.7522,3356.185,3655.2654,3285.7114,3109.9956,3407.168,3312.324,3349.0225,3254.1206,3299.038,3463.7886,3678.0894,3401.8213,3647.0342,3857.7288,4172.529,3858.125,3649.3906,3856.6006,3378.3152,3465.3667,4066.8335,3607.9604,2844.9106,3778.2312,3580.7095,3946.3115,3418.192,3184.386,3449.252,3802.0063,3936.3677,3373.0278,NA,296,"ltr"
"297","0000000000000000002e_0",3121.938,3183.2231,3571.8586,3316.7144,3139.813,3225.4294,3395.2664,3999.0396,3827.1548,4249.3853,3761.8174,3634.4697,3183.5425,3698.9648,3517.8267,3665.6733,3622.3892,3537.5127,3177.012,3139.5684,3187.8447,1419.3848,3357.1255,3449.1316,3540.3613,3452.2654,3487.0786,3377.3875,3313.6624,3313.1545,3280.8345,2684.1406,4031.4644,NA,297,"ltr"
"298","0000000000000000002f_0",2953.1929,2988.6345,3150.9922,3399.1646,3256.0269,3578.6494,3392.6526,3605.143,3570.2422,3790.3135,3649.6309,3491.8308,3045.684,3222.213,3230.2468,3320.2349,3363.0994,3041.245,3639.822,3397.6528,3901.274,4512.492,4173.975,2825.6367,4128.3833,4181.792,4017.2935,3380.7988,3969.296,3694.4866,3889.4595,3432.4675,3666.0115,NA,298,"ltr"
"299","00000000000000000030_0",2545.2593,2580.1367,1450.9032,1732.8068,2424.162,1629.7397,2090.2844,1906.262,1956.3455,2062.5837,2178.6143,1978.4491,2155.2144,1656.6064,1715.7942,1702.8878,1433.5615,1343.3335,1755.147,1845.5708,1724.626,1939.386,2102.3635,2588.425,1578.7109,1966.5553,2234.163,2445.0159,2424.6306,2410.4412,2197.1653,1386.2705,2566.8457,NA,299,"ltr"
"300","00000000000000000031_0",2437.4136,2551.4724,2642.759,2736.9316,2878.7683,3120.1006,3365.8796,3207.3564,3222.4749,3464.9822,3511.1396,3347.9053,2540.0947,3172.2402,3157.4116,3341.2932,3333.7983,3200.0117,3315.4883,3601.8328,3343.8152,3792.938,3788.2788,2559.1846,3806.3955,3782.4104,3878.7356,2408.2107,2680.239,2560.3975,3114.8467,2989.6897,2839.9976,NA,300,"ltr"
